Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,Release Year,YT_Likes,YT_Views
Post Malone,Circles,88.0,0.695,0.762,,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4,9,2019,"8,490,012","1,116,323,669"
Stellar,Ashes,76.0,0.712,0.568,5.0,-7.864,0,0.0546,0.0947,,0.169,0.46,130.019,166356.0,4,9,2020,"2,201,213","182,898,963"
Doja Cat,Kiss Me More (feat. SZA),98.0,0.762,0.701,8.0,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867.0,4,5,2021,"2,540,592","307,855,103"
Ed Sheeran,Shape of You,86.0,0.825,0.652,1.0,-3.183,0,0.0802,0.581,,0.0931,0.931,95.977,233713.0,4,9,2017,"45,770,887","8,013,997,219"
Tame Impala,The Less I Know The Better,84.0,0.64,0.74,4.0,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320.0,4,9,2015,"3,947,876","339,312,309"
Doja Cat,Need To Know,86.0,0.664,0.609,1.0,-6.509,1,0.0707,0.304,,0.0926,0.194,130.041,3.509333333,4,9,2021,"6,169,368","507,790,705"
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",78.0,0.262,0.606,8.0,-6.646,1,0.0484,0.247,,0.125,0.275,189.857,252534.0,4,9,2015,"15,112,588","2,536,191,191"
Billie Eilish,Therefore I Am,88.0,0.889,0.34,11.0,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321.0,4,10,2020,"9,930,750","357,556,016"
Tesher,Jalebi Baby,77.0,0.68,0.895,2.0,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375.0,4,9,2020,"9,098,356","569,438,267"
Tion Wayne,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",90.0,0.883,0.674,11.0,-8.043,0,0.357,0.21,,0.0678,0.73,141.02,278085.0,4,5,2021,"2,011,079","139,803,282"
Christina Perri,A Thousand Years,68.0,0.423,0.407,10.0,-7.45,1,0.0267,0.312,0.000961,0.11,0.161,139.048,285120.0,3,9,2011,"19,870,174","2,989,286,684"
Miley Cyrus,Midnight Sky,79.0,0.705,0.814,4.0,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279.0,4,10,2020,"2,670,514","301,362,454"
Masked Wolf,Astronaut In The Ocean,16.0,0.778,0.695,4.0,-6.865,0,0.0913,0.174,,0.151,0.472,149.996,2.213,4,9,2019,"13,378,087","1,001,433,936"
SAINt JHN,Roses - Imanbek Remix,47.0,0.784,0.721,8.0,-5.457,1,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219.0,4,9,2019,"3,572,454","320,969,468"
The Kid LAROI,WITHOUT YOU,91.0,0.662,0.413,,-7.357,1,0.0299,0.213,,0.134,0.467,93.005,161385.0,4,9,2020,"2,768,029","201,781,716"
347aidan,Dancing in My Room,3.0,0.979,0.41,8.0,-11.056,0,0.112,0.658,3.42e-05,0.205,0.74,119.971,3.002033333,4,9,2020,"2,529,521","122,687,107"
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",78.0,0.792,0.707,7.0,-5.218,0,0.0623,0.116,,0.12,0.408,134.997,224042.0,4,5,2021,"830,423","49,154,791"
Marshmello,Leave Before You Love Me (with Jonas Brothers),,0.721,0.738,7.0,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983.0,4,9,2021,"2,020,373","269,892,715"
James Arthur,Say You Won't Let Go,55.0,0.358,0.557,10.0,-7.398,1,0.059,0.695,,0.0902,0.494,85.043,211467.0,4,9,2016,"11,898,213","2,083,619,058"
Billie Eilish,bad guy,87.0,0.701,0.425,7.0,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,4,9,2019,"26,239,833","1,779,243,626"
Lorde,Royals,76.0,0.674,0.428,7.0,-9.504,1,0.122,0.121,,0.132,0.337,84.878,190185.0,4,9,2012,"2,670,057","349,747,981"
BTS,Permission to Dance,95.0,0.702,0.741,9.0,-5.33,1,0.0427,0.00544,,0.337,0.646,124.925,3.12641667,4,9,2021,"29,073,682","881,072,427"
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),79.0,0.825,0.458,,-7.47,1,0.0577,0.114,,0.102,0.161,145.115,197760.0,4,5,2020,"807,191","85,842,981"
Jonas Brothers,Sucker,83.0,0.842,0.734,1.0,-5.065,0,0.0588,0.0427,,0.106,0.952,137.958,181027.0,4,9,2019,"9,661,491","641,158,161"
Saweetie,Best Friend (feat. Doja Cat),89.0,0.84,0.766,4.0,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884.0,4,9,2021,"4,921,945","480,128,955"
Sech,911,89.0,0.795,0.655,7.0,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891.0,4,9,2021,"2,300,245","415,445,675"
Bakar,Hell N Back,75.0,0.584,0.684,10.0,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,213573.0,4,10,2019,"420,306","31,571,952"
Giveon,Heartbreak Anniversary,78.0,0.443,0.459,,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,3.30618333,5,9,2020,"1,488,878","158,131,164"
CJ,Whoopty,85.0,0.719,0.648,3.0,-7.6,0,0.125,0.2,,0.127,0.66,140.201,123263.0,4,9,2020,"8,889,460","810,607,861"
grandson,Blood // Water,80.0,0.51,0.882,8.0,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,216721.0,4,10,2017,"3,016,621","218,493,561"
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),85.0,0.861,0.656,4.0,-7.867,0,0.425,0.104,,0.0986,0.331,88.967,218210.0,4,5,2021,"766,589","69,280,791"
Tom Odell,Another Love,84.0,0.445,0.537,4.0,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.072666667,4,9,2012,"9,104,648","996,981,745"
Lady Gaga,Always Remember Us This Way,79.0,0.553,0.502,,-5.972,1,0.0409,0.299,,0.764,0.296,129.976,210200.0,4,9,2018,"4,676,578","824,308,720"
Khalid,Better,76.0,0.596,0.552,,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,4,9,2018,"6,104,356","1,260,752,640"
P!nk,Cover Me In Sunshine,88.0,0.476,0.594,5.0,-6.879,1,0.135,0.0599,,0.0785,0.314,159.702,141050.0,4,9,2021,"1,213,873","115,408,379"
Luke Combs,When It Rains It Pours,77.0,0.551,0.801,6.0,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,4.012666667,4,4,2017,"2,093,903","576,510,087"
OneRepublic,Run,82.0,0.682,0.72,11.0,-8.173,0,0.0381,0.326,,0.148,0.673,117.003,169011.0,4,9,2021,"892,974","99,979,912"
Surfaces,Sunday Best,82.0,0.878,0.525,5.0,-6.832,1,0.0578,0.183,,0.0714,0.694,112.022,158571.0,4,9,2018,"2,597,296","195,696,821"
Olivia Rodrigo,traitor,94.0,0.38,0.339,3.0,-7.885,1,0.0338,0.691,,0.12,0.0849,100.607,3.82045,4,9,2021,"7,451,635","500,794,182"
Tones And I,Fly Away,82.0,0.806,0.513,4.0,-6.208,1,0.0685,0.217,,0.217,0.503,124.988,178157.0,4,9,2020,"600,320","60,022,490"
Loud Luxury,Body,75.0,0.752,0.764,1.0,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216.0,4,9,2017,"1,776,887","295,487,246"
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),78.0,0.661,0.723,5.0,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805.0,4,9,2019,"973,317","81,796,283"
BANNERS,Someone To You,79.0,0.52,0.903,2.0,-5.497,1,0.042,0.00517,,0.254,0.652,74.988,219801.0,4,9,2017,"2,631,856","219,305,472"
SZA,Good Days,89.0,0.436,0.655,1.0,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204.0,4,5,2020,"2,947,859","295,872,840"
Bastille,Pompeii,74.0,0.679,0.715,9.0,-6.383,1,0.0407,0.0755,,0.271,0.571,127.435,214148.0,4,9,2013,"6,706,344","892,426,661"
Future,Life Is Good (feat. Drake),83.0,0.676,0.609,2.0,-5.831,0,0.481,0.0706,,0.152,0.508,142.037,237735.0,4,9,2020,"12,334,565","2,430,804,498"
Sleepy Hallow,2055,72.0,0.775,0.518,6.0,-5.857,0,0.311,0.455,,0.121,0.646,161.011,123987.0,4,5,2021,"1,450,642","168,936,854"
Meek Mill,Going Bad (feat. Drake),81.0,0.889,0.496,4.0,-6.365,0,0.0905,0.259,,0.252,0.544,86.003,180522.0,4,9,2018,"2,979,918","339,988,703"
Rammstein,DEUTSCHLAND,73.0,0.521,0.895,7.0,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340.0,4,10,2019,"3,950,188","370,078,966"
Trippie Redd,Miss The Rage (feat. Playboi Carti),88.0,0.584,0.859,8.0,-5.616,1,0.121,0.0144,,0.847,0.369,77.005,236883.0,4,9,2021,"3,367,746","171,889,127"
Joel Corry,Head & Heart (feat. MNEK),90.0,0.734,0.874,8.0,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028.0,4,9,2020,"1,650,951","362,915,972"
Niall Horan,Slow Hands,76.0,0.735,0.425,,-6.648,1,0.0464,0.011,,0.055,0.848,85.896,188174.0,4,9,2017,"3,528,279","304,206,080"
Taylor Swift,willow,81.0,0.392,0.574,7.0,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707.0,4,9,2020,"2,729,881","189,534,686"
Maren Morris,The Bones,75.0,0.561,0.597,11.0,-6.0,0,0.0405,0.286,,0.0979,0.355,76.826,197299.0,4,9,2019,"724,848","97,498,335"
Tai Verdes,A-O-K,71.0,0.731,0.626,11.0,-6.919,1,0.0805,0.125,,0.183,0.862,82.488,173640.0,4,9,2021,"162,382","12,456,282"
Glass Animals,Heat Waves,84.0,0.761,0.525,11.0,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4,9,2020,"14,947,520","1,272,898,075"
BENEE,Supalonely,79.0,0.863,0.631,7.0,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480.0,4,9,2019,"4,622,840","363,250,356"
Disturbed,The Sound of Silence,73.0,0.322,0.28,6.0,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467.0,4,8,2015,"9,765,818","1,442,138,188"
42 Dugg,Maybach (feat. Future),21.0,0.506,0.473,5.0,-9.79,1,0.331,0.0229,,0.15,0.199,100.535,199086.0,5,5,2021,"1,234,087","216,661,579"
Ed Sheeran,Thinking out Loud,83.0,0.781,0.445,2.0,-6.061,1,0.0295,0.474,,0.184,0.591,78.998,281560.0,4,9,2017,"15,214,286","3,777,105,479"
Chris Stapleton,Tennessee Whiskey,79.0,0.392,0.37,9.0,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4.888216667,4,4,2015,"6,645,883","1,153,379,467"
Pop Smoke,What You Know Bout Love,87.0,0.709,0.548,10.0,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000.0,4,9,2020,"3,322,075","306,628,096"
Violent Femmes,Blister In The Sun,70.0,0.726,0.537,,-8.896,1,0.113,0.316,,0.0707,0.887,96.91,145707.0,4,6,2023,,
Rihanna,Stay,76.0,0.621,0.31,9.0,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707.0,4,9,2012,"6,778,043","1,350,480,491"
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),78.0,0.643,0.783,10.0,-6.458,1,0.0856,0.047,,0.083,0.579,154.084,163870.0,4,9,2017,"6,888,667","1,318,325,154"
Jason Mraz,I'm Yours,37.0,0.549,0.107,,-16.147,1,0.0844,0.957,,0.111,0.307,74.63,219053.0,4,9,2008,"1,614,148","359,866,287"
Sam Smith,Stay With Me,82.0,0.418,0.42,,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724.0,4,9,2011,"1,603,354","212,889,507"
Kid Cudi,Day 'N' Nite (Nightmare),72.0,0.88,0.443,11.0,-6.359,0,0.0653,0.462,7.13e-06,0.122,0.803,138.018,3.687333333,4,9,2009,"2,261,189","348,950,018"
Dan + Shay,Tequila,5.0,0.423,0.835,11.0,-6.494,1,0.0878,0.229,,0.427,0.475,123.123,170103.0,4,9,2018,"456,799","54,165,764"
Lil Baby,Drip Too Hard (Lil Baby & Gunna),81.0,0.897,0.662,1.0,-6.903,0,0.292,0.0852,,0.534,0.389,112.511,145543.0,4,5,2018,"4,719,266","637,733,433"
JVLA,Such a Whore (Stellular Remix),76.0,0.624,0.614,2.0,-4.165,1,0.0448,0.00391,0.0278,0.187,0.139,168.87,147638.0,4,9,2020,"964,398","102,609,103"
Twenty One Pilots,Heathens,82.0,0.732,0.396,4.0,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,4,9,2016,"21,763,865","2,624,180,055"
Sam Fischer,This City,83.0,0.605,0.377,11.0,-6.213,1,0.0443,0.733,,0.0808,0.519,73.877,194853.0,4,9,2018,"260,550","26,434,293"
Polo G,RAPSTAR,89.0,0.789,0.536,6.0,-6.862,1,0.242,0.41,,0.129,0.437,81.039,2.76543333,4,9,2021,"3,235,053","300,905,049"
Saweetie,Tap In,77.0,0.954,0.696,10.0,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413.0,4,5,2020,"1,546,430","134,077,658"
J. Cole,m y . l i f e (with 21 Savage & Morray),86.0,0.597,0.587,7.0,-7.026,0,0.137,0.0622,,0.214,0.0753,140.021,218802.0,4,9,2021,"910,889","78,305,305"
SLANDER,Love Is Gone - Acoustic,83.0,0.541,0.153,6.0,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,176972.0,4,9,2019,"2,910,072","239,866,189"
Gorillaz,Feel Good Inc.,82.0,0.818,0.705,6.0,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640.0,4,1,2005,"10,819,604","1,211,241,854"
JAY-Z,Numb / Encore,76.0,0.687,0.793,2.0,-4.254,1,0.166,0.0603,,0.582,0.751,107.045,205733.0,4,10,2024,,
Kevin Gates,Big Gangsta,80.0,0.879,0.574,10.0,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463.0,4,5,2019,"2,146,409","261,079,023"
Sam Smith,Too Good At Goodbyes,80.0,0.681,0.372,5.0,-8.237,1,0.0432,0.64,,0.169,0.476,91.873,201000.0,4,9,2017,"11,184,649","1,988,375,859"
Calvin Harris,Promises (with Sam Smith),78.0,0.781,0.768,11.0,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309.0,4,9,2018,"3,449,298","656,926,852"
Ava Max,Sweet but Psycho,82.0,0.72,0.706,1.0,-4.719,1,0.0473,0.0684,,0.166,0.62,133.002,187436.0,4,9,2018,"9,554,049","1,254,501,233"
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),87.0,0.823,0.586,6.0,-6.606,0,0.2,0.114,,0.193,0.347,125.971,190476.0,4,9,2020,"6,283,245","767,399,825"
Arctic Monkeys,I Wanna Be Yours,80.0,0.464,0.417,,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956.0,4,10,2013,"1,268,458","109,538,379"
Alessia Cara,Scars To Your Beautiful,80.0,0.319,0.739,,-5.74,1,0.272,0.0285,,0.111,0.449,194.169,230227.0,4,9,2015,"9,930,759","710,718,042"
Soulja Boy,She Make It Clap,37.0,0.938,0.463,1.0,-13.124,1,0.479,0.035,0.00652,0.1,0.46,119.878,1.86035,4,9,2021,"645,841","22,158,547"
Doja Cat,Say So,84.0,0.787,0.673,11.0,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893.0,4,9,2019,"10,069,968","879,051,516"
Drake,Laugh Now Cry Later (feat. Lil Durk),86.0,0.761,0.518,,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493.0,4,9,2020,"5,525,087","645,367,972"
Parmalee,Take My Name,65.0,0.559,0.66,7.0,-4.143,1,0.0512,0.222,,0.193,0.574,163.957,2.631783333,4,4,2021,"116,035","13,919,928"
SyKo,#BrooklynBloodPop!,79.0,0.691,0.814,1.0,-3.788,0,0.117,0.0164,,0.366,0.509,132.012,145611.0,4,9,2020,"3,983,154","247,178,404"
Chris Stapleton,You Should Probably Leave,76.0,0.602,0.477,9.0,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,213493.0,4,1,2020,"657,247","116,140,773"
Linkin Park,Numb,82.0,0.496,0.863,9.0,-4.153,1,0.0381,0.0046,,0.639,0.243,110.018,185587.0,4,10,2003,"15,462,896","2,450,982,330"
Childish Gambino,Redbone,83.0,0.743,0.347,1.0,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933.0,4,9,2016,"7,755,679","887,924,965"
Imagine Dragons,Thunder,83.0,0.605,0.822,,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147.0,4,9,2017,"16,780,231","2,707,166,590"
MEDUZA,Lose Control,83.0,0.598,0.526,10.0,-8.659,0,0.0415,0.129,,0.14,0.529,123.935,168387.0,4,9,2019,"4,053,612","412,062,322"
StarBoi3,Dick (feat. Doja Cat),85.0,0.647,0.608,9.0,-6.831,1,0.42,0.13,,0.0584,0.474,125.994,175238.0,4,9,2021,"1,242,250","76,319,678"
Nelly Furtado,Promiscuous,82.0,0.808,0.97,10.0,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293.0,4,9,2006,"4,900,990","810,297,837"
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),94.0,0.65,0.825,,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014.0,4,9,2020,"4,302,435","385,884,628"
Tai Verdes,Stuck in the Middle,69.0,0.872,0.501,9.0,-8.909,1,0.0468,0.371,,0.0939,0.848,119.964,196000.0,4,9,2020,"429,911","23,355,896"
Ofenbach,Wasted Love (feat. Lagique),87.0,0.734,0.855,6.0,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563.0,4,9,2021,"440,351","67,488,485"
Olivia Rodrigo,deja vu,95.0,0.439,0.61,9.0,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,215508.0,4,9,2021,"7,847,239","638,102,695"
Ed Sheeran,Afterglow,85.0,0.641,0.324,11.0,-5.851,1,0.0299,0.698,,0.328,0.273,110.184,185487.0,4,9,2020,"2,212,191","183,828,202"
X Ambassadors,Renegades,77.0,0.526,0.862,2.0,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200.0,4,10,2015,"3,162,813","492,974,141"
Bella Poarch,Build a Bitch,90.0,0.855,0.463,3.0,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,2.04621667,4,9,2021,"13,396,525","575,228,171"
Kendrick Lamar,DNA.,78.0,0.638,0.523,1.0,-6.664,1,0.357,0.00454,,0.0842,0.422,139.913,185947.0,4,5,2017,"3,573,193","356,343,325"
AJR,Bang!,65.0,0.74,0.517,1.0,-6.233,0,0.0506,0.0183,,0.0558,0.698,139.917,170858.0,4,10,2020,"1,822,530","140,168,452"
Morgan Wallen,Chasin' You,76.0,0.631,0.591,7.0,-5.785,1,0.0277,0.657,,0.11,0.489,97.074,3.424216667,4,4,2018,"1,101,498","255,780,709"
Eminem,'Till I Collapse,84.0,0.548,0.847,1.0,-3.237,1,0.186,0.0622,,0.0816,0.1,171.447,297787.0,4,5,2002,"10,918,289","1,463,549,979"
Chris Stapleton,Starting Over,73.0,0.638,0.538,10.0,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413.0,4,10,2020,"850,627","174,357,045"
MEDUZA,Piece Of Your Heart,81.0,0.677,0.744,10.0,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913.0,4,9,2019,"4,586,152","464,369,299"
Bishop Briggs,River,75.0,0.733,0.477,2.0,-6.737,0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,216133.0,4,10,2016,"8,058,632","566,895,107"
Juice WRLD,Wishing Well,85.0,0.65,0.613,9.0,-6.13,0,0.128,0.00336,,0.267,0.0804,149.972,194621.0,4,9,2020,"4,349,040","419,337,114"
The Strokes,The Adults Are Talking,80.0,0.593,0.749,5.0,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053.0,4,6,2020,"1,716,915","161,335,622"
$uicideboy$,"...And To Those I Love, Thanks For Sticking Around",79.0,0.792,0.511,2.0,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490.0,4,5,2020,"3,292,285","269,460,083"
Linkin Park,One Step Closer,76.0,0.492,0.969,9.0,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333.0,4,8,2024,,
Ava Max,Kings & Queens,84.0,0.637,0.69,1.0,-4.057,0,0.0405,0.00786,,0.124,0.457,129.857,162399.0,4,9,2020,"6,208,902","627,987,518"
Majestic,Rasputin,88.0,0.758,0.913,6.0,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210.0,4,9,2021,"645,892","68,681,033"
Julia Michaels,Issues,72.0,0.67,0.415,8.0,-6.855,1,0.0786,0.39,,0.0617,0.445,114.212,176320.0,4,9,2017,"3,284,811","333,612,581"
Sia,Elastic Heart,71.0,0.421,0.791,9.0,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200.0,4,9,2011,"7,268,122","1,537,848,233"
Rod Wave,Tombstone,75.0,0.55,0.637,8.0,-5.212,1,0.163,0.597,,0.129,0.535,84.448,160078.0,4,5,2021,"1,699,888","192,748,584"
Kungs,Never Going Home,20.0,0.836,0.846,,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,169945.0,4,9,2021,"580,798","87,407,927"
Migos,Straightenin,79.0,0.847,0.629,9.0,-5.81,1,0.102,0.0318,,0.152,0.109,135.976,255532.0,4,5,2021,"1,541,456","158,341,543"
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,94.0,0.824,0.862,2.0,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153.0,4,9,2021,"285,558","43,045,405"
Dennis Lloyd,Nevermind,40.0,0.601,0.69,5.0,-8.339,0,0.201,0.162,1.29e-05,0.409,0.0795,99.984,156600.0,4,9,2016,"1,207,787","180,977,641"
Billie Eilish,Your Power,93.0,0.634,0.285,9.0,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,245897.0,4,9,2021,"4,244,477","170,437,339"
Coldplay,The Scientist,83.0,0.557,0.442,5.0,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,4,10,2002,"10,131,009","1,864,046,384"
Kendrick Lamar,Money Trees,71.0,0.716,0.531,7.0,-7.355,1,0.122,0.0703,,0.224,0.344,71.994,386907.0,4,9,2012,"3,054,056","385,175,377"
Sam Cooke,Bring It On Home to Me,68.0,0.523,0.402,,-8.233,1,0.0305,0.778,,0.432,0.675,70.863,162533.0,4,10,2024,,
Taylor Swift,You Need To Calm Down,80.0,0.771,0.671,2.0,-5.617,1,0.0553,0.00929,,0.0637,0.714,85.026,171360.0,4,9,2019,"5,982,989","437,794,062"
Megan Thee Stallion,Thot Shit,88.0,0.95,0.693,9.0,-3.424,1,0.0898,0.0133,,0.173,0.891,130.02,3.07725,4,9,2021,"2,497,154","166,781,349"
Moneybagg Yo,Wockesha,75.0,0.582,0.537,,-9.229,1,0.619,0.129,,0.0749,0.771,82.103,180930.0,4,5,2021,"1,456,308","168,383,616"
BTS,Dynamite,89.0,0.746,0.765,6.0,-4.41,0,0.0993,0.0112,,0.0936,0.737,114.044,199054.0,4,9,2020,"62,311,179","2,638,957,320"
AURORA,Runaway,89.0,0.422,0.302,11.0,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827.0,4,1,2015,"18,300,103","959,919,759"
Lil Peep,Falling Down - Bonus Track,82.0,0.669,0.574,4.0,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400.0,4,5,2018,"5,703,867","402,381,959"
Adele,Send My Love (To Your New Lover),71.0,0.691,0.51,6.0,-9.217,0,0.0878,0.0347,3.32e-06,0.182,0.515,164.055,223079.0,4,9,2015,"6,246,988","997,993,764"
Imagine Dragons,Follow You,87.0,0.542,0.732,9.0,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,175644.0,4,10,2021,"2,209,078","186,582,105"
